Entity,Attribute,Data Type,PK/FK,Nullable,Unique,Default,Validation / Constraint,Retention,Owner,Notes
refresh_tokens,created_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Created timestamp,Until token expires/revoked,System,Audit field.
settings,id,bigint,PK,No,No,auto_increment,Primary key,Until hard delete,System,Setting identifier.
settings,key,varchar(190),-,No,Yes,NULL,Unique setting key,Until hard delete,System,Example: appointment.reminder_minutes.
settings,value,text,-,Yes,No,NULL,String/json-compatible value,Until hard delete,System,Setting value.
settings,type,varchar(50),-,No,No,string,Allowed value type,Until hard delete,System,"Example: string, number, boolean, json."
settings,created_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Created timestamp,Until hard delete,System,Audit field.
settings,updated_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Auto update on change,Until hard delete,System,Audit field.
users,id,bigint,PK,No,No,NULL,Primary key,Until soft/hard delete,System,"bảng tài khoản đăng nhập chính của toàn hệ thống. Thai phụ, bác sĩ, staff, admin đều có một record ở đây. Bảng này chỉ nên giữ thông tin đăng nhập và định danh cơ bản như email, password hash, tên, trạng thái."
users,name,varchar(150),-,No,No,NULL,Max length 150,Until soft/hard delete,System,"bảng tài khoản đăng nhập chính của toàn hệ thống. Thai phụ, bác sĩ, staff, admin đều có một record ở đây. Bảng này chỉ nên giữ thông tin đăng nhập và định danh cơ bản như email, password hash, tên, trạng thái."
users,email,varchar(190),-,No,Yes,NULL,Unique; Max length 190,Until soft/hard delete,System,"bảng tài khoản đăng nhập chính của toàn hệ thống. Thai phụ, bác sĩ, staff, admin đều có một record ở đây. Bảng này chỉ nên giữ thông tin đăng nhập và định danh cơ bản như email, password hash, tên, trạng thái."
users,password,varchar(255),-,No,No,NULL,Max length 255,Until soft/hard delete,System,"bảng tài khoản đăng nhập chính của toàn hệ thống. Thai phụ, bác sĩ, staff, admin đều có một record ở đây. Bảng này chỉ nên giữ thông tin đăng nhập và định danh cơ bản như email, password hash, tên, trạng thái."
users,phone,varchar(30),-,Yes,Yes,NULL,Unique; Max length 30,Until soft/hard delete,System,"bảng tài khoản đăng nhập chính của toàn hệ thống. Thai phụ, bác sĩ, staff, admin đều có một record ở đây. Bảng này chỉ nên giữ thông tin đăng nhập và định danh cơ bản như email, password hash, tên, trạng thái."
users,avatar_url,varchar(500),-,Yes,No,NULL,Max length 500,Until soft/hard delete,System,"bảng tài khoản đăng nhập chính của toàn hệ thống. Thai phụ, bác sĩ, staff, admin đều có một record ở đây. Bảng này chỉ nên giữ thông tin đăng nhập và định danh cơ bản như email, password hash, tên, trạng thái."
users,gender,varchar(20),-,Yes,No,NULL,Max length 20,Until soft/hard delete,System,"bảng tài khoản đăng nhập chính của toàn hệ thống. Thai phụ, bác sĩ, staff, admin đều có một record ở đây. Bảng này chỉ nên giữ thông tin đăng nhập và định danh cơ bản như email, password hash, tên, trạng thái."
users,date_of_birth,date,-,Yes,No,NULL,Nullable,Until soft/hard delete,System,"bảng tài khoản đăng nhập chính của toàn hệ thống. Thai phụ, bác sĩ, staff, admin đều có một record ở đây. Bảng này chỉ nên giữ thông tin đăng nhập và định danh cơ bản như email, password hash, tên, trạng thái."
users,status,varchar(30),-,No,No,NULL,"Allowed: active, inactive, blocked; Max length 30",Until soft/hard delete,System,"bảng tài khoản đăng nhập chính của toàn hệ thống. Thai phụ, bác sĩ, staff, admin đều có một record ở đây. Bảng này chỉ nên giữ thông tin đăng nhập và định danh cơ bản như email, password hash, tên, trạng thái."
users,last_login_at,timestamp,-,Yes,No,NULL,Timestamp,Until soft/hard delete,System,"bảng tài khoản đăng nhập chính của toàn hệ thống. Thai phụ, bác sĩ, staff, admin đều có một record ở đây. Bảng này chỉ nên giữ thông tin đăng nhập và định danh cơ bản như email, password hash, tên, trạng thái."
users,created_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"bảng tài khoản đăng nhập chính của toàn hệ thống. Thai phụ, bác sĩ, staff, admin đều có một record ở đây. Bảng này chỉ nên giữ thông tin đăng nhập và định danh cơ bản như email, password hash, tên, trạng thái."
users,updated_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"bảng tài khoản đăng nhập chính của toàn hệ thống. Thai phụ, bác sĩ, staff, admin đều có một record ở đây. Bảng này chỉ nên giữ thông tin đăng nhập và định danh cơ bản như email, password hash, tên, trạng thái."
user_profiles,user_id,bigint,PK/FK→users.id,No,No,NULL,Primary key; Must reference users.id,Until soft/hard delete,User,"hồ sơ cá nhân mở rộng của user. Tách khỏi `users` để bảng đăng nhập không phình to vì các thông tin như địa chỉ, liên hệ khẩn cấp, metadata."
user_profiles,address,varchar(500),-,Yes,No,NULL,Max length 500,Until soft/hard delete,User,"hồ sơ cá nhân mở rộng của user. Tách khỏi `users` để bảng đăng nhập không phình to vì các thông tin như địa chỉ, liên hệ khẩn cấp, metadata."
user_profiles,province,varchar(100),-,Yes,No,NULL,Max length 100,Until soft/hard delete,User,"hồ sơ cá nhân mở rộng của user. Tách khỏi `users` để bảng đăng nhập không phình to vì các thông tin như địa chỉ, liên hệ khẩn cấp, metadata."
user_profiles,district,varchar(100),-,Yes,No,NULL,Max length 100,Until soft/hard delete,User,"hồ sơ cá nhân mở rộng của user. Tách khỏi `users` để bảng đăng nhập không phình to vì các thông tin như địa chỉ, liên hệ khẩn cấp, metadata."
user_profiles,ward,varchar(100),-,Yes,No,NULL,Max length 100,Until soft/hard delete,User,"hồ sơ cá nhân mở rộng của user. Tách khỏi `users` để bảng đăng nhập không phình to vì các thông tin như địa chỉ, liên hệ khẩn cấp, metadata."
user_profiles,emergency_contact_name,varchar(150),-,Yes,No,NULL,Max length 150,Until soft/hard delete,User,"hồ sơ cá nhân mở rộng của user. Tách khỏi `users` để bảng đăng nhập không phình to vì các thông tin như địa chỉ, liên hệ khẩn cấp, metadata."
user_profiles,emergency_contact_phone,varchar(30),-,Yes,No,NULL,Max length 30,Until soft/hard delete,User,"hồ sơ cá nhân mở rộng của user. Tách khỏi `users` để bảng đăng nhập không phình to vì các thông tin như địa chỉ, liên hệ khẩn cấp, metadata."
user_profiles,metadata,json,-,Yes,No,NULL,Nullable,Until soft/hard delete,User,"hồ sơ cá nhân mở rộng của user. Tách khỏi `users` để bảng đăng nhập không phình to vì các thông tin như địa chỉ, liên hệ khẩn cấp, metadata."
user_profiles,created_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,User,"hồ sơ cá nhân mở rộng của user. Tách khỏi `users` để bảng đăng nhập không phình to vì các thông tin như địa chỉ, liên hệ khẩn cấp, metadata."
user_profiles,updated_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,User,"hồ sơ cá nhân mở rộng của user. Tách khỏi `users` để bảng đăng nhập không phình to vì các thông tin như địa chỉ, liên hệ khẩn cấp, metadata."
doctors,id,bigint,PK,No,No,NULL,Primary key,Until soft/hard delete,System,"hồ sơ chuyên môn của bác sĩ. Chỉ user có role bác sĩ mới cần record này. Dùng cho lọc bác sĩ, gán bác sĩ vào cơ sở, tạo ca trực và hiển thị hồ sơ khám."
doctors,user_id,bigint,FK→users.id,No,Yes,NULL,Unique; Must reference users.id,Until soft/hard delete,System,"hồ sơ chuyên môn của bác sĩ. Chỉ user có role bác sĩ mới cần record này. Dùng cho lọc bác sĩ, gán bác sĩ vào cơ sở, tạo ca trực và hiển thị hồ sơ khám."
doctors,license_no,varchar(100),-,No,Yes,NULL,Unique; Max length 100,Until soft/hard delete,System,"hồ sơ chuyên môn của bác sĩ. Chỉ user có role bác sĩ mới cần record này. Dùng cho lọc bác sĩ, gán bác sĩ vào cơ sở, tạo ca trực và hiển thị hồ sơ khám."
doctors,title,varchar(100),-,No,No,NULL,Max length 100,Until soft/hard delete,System,"hồ sơ chuyên môn của bác sĩ. Chỉ user có role bác sĩ mới cần record này. Dùng cho lọc bác sĩ, gán bác sĩ vào cơ sở, tạo ca trực và hiển thị hồ sơ khám."
doctors,specialty,varchar(150),-,No,No,NULL,Max length 150,Until soft/hard delete,System,"hồ sơ chuyên môn của bác sĩ. Chỉ user có role bác sĩ mới cần record này. Dùng cho lọc bác sĩ, gán bác sĩ vào cơ sở, tạo ca trực và hiển thị hồ sơ khám."
doctors,years_of_experience,int,-,No,No,0,Default 0,Until soft/hard delete,System,"hồ sơ chuyên môn của bác sĩ. Chỉ user có role bác sĩ mới cần record này. Dùng cho lọc bác sĩ, gán bác sĩ vào cơ sở, tạo ca trực và hiển thị hồ sơ khám."
doctors,bio,text,-,Yes,No,NULL,Nullable,Until soft/hard delete,System,"hồ sơ chuyên môn của bác sĩ. Chỉ user có role bác sĩ mới cần record này. Dùng cho lọc bác sĩ, gán bác sĩ vào cơ sở, tạo ca trực và hiển thị hồ sơ khám."
doctors,status,varchar(30),-,No,No,NULL,"Allowed: active, inactive; Max length 30",Until soft/hard delete,System,"hồ sơ chuyên môn của bác sĩ. Chỉ user có role bác sĩ mới cần record này. Dùng cho lọc bác sĩ, gán bác sĩ vào cơ sở, tạo ca trực và hiển thị hồ sơ khám."
doctors,created_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"hồ sơ chuyên môn của bác sĩ. Chỉ user có role bác sĩ mới cần record này. Dùng cho lọc bác sĩ, gán bác sĩ vào cơ sở, tạo ca trực và hiển thị hồ sơ khám."
doctors,updated_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"hồ sơ chuyên môn của bác sĩ. Chỉ user có role bác sĩ mới cần record này. Dùng cho lọc bác sĩ, gán bác sĩ vào cơ sở, tạo ca trực và hiển thị hồ sơ khám."
staff_profiles,id,bigint,PK,No,No,NULL,Primary key,Until soft/hard delete,System,"hồ sơ nhân sự vận hành như lễ tân, điều phối, kế toán cơ sở. Dùng cho quản lý tài khoản nhân sự và gán staff vào cơ sở."
staff_profiles,user_id,bigint,FK→users.id,No,Yes,NULL,Unique; Must reference users.id,Until soft/hard delete,System,"hồ sơ nhân sự vận hành như lễ tân, điều phối, kế toán cơ sở. Dùng cho quản lý tài khoản nhân sự và gán staff vào cơ sở."
staff_profiles,employee_code,varchar(100),-,No,Yes,NULL,Unique; Max length 100,Until soft/hard delete,System,"hồ sơ nhân sự vận hành như lễ tân, điều phối, kế toán cơ sở. Dùng cho quản lý tài khoản nhân sự và gán staff vào cơ sở."
staff_profiles,position,varchar(100),-,No,No,NULL,Max length 100,Until soft/hard delete,System,"hồ sơ nhân sự vận hành như lễ tân, điều phối, kế toán cơ sở. Dùng cho quản lý tài khoản nhân sự và gán staff vào cơ sở."
staff_profiles,status,varchar(30),-,No,No,NULL,"Allowed: active, inactive; Max length 30",Until soft/hard delete,System,"hồ sơ nhân sự vận hành như lễ tân, điều phối, kế toán cơ sở. Dùng cho quản lý tài khoản nhân sự và gán staff vào cơ sở."
staff_profiles,created_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"hồ sơ nhân sự vận hành như lễ tân, điều phối, kế toán cơ sở. Dùng cho quản lý tài khoản nhân sự và gán staff vào cơ sở."
staff_profiles,updated_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"hồ sơ nhân sự vận hành như lễ tân, điều phối, kế toán cơ sở. Dùng cho quản lý tài khoản nhân sự và gán staff vào cơ sở."
facilities,id,bigint,PK,No,No,NULL,Primary key,Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
facilities,name,varchar(200),-,No,No,NULL,Max length 200,Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
facilities,code,varchar(50),-,No,Yes,NULL,Unique; Max length 50,Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
facilities,phone,varchar(30),-,No,No,NULL,Max length 30,Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
facilities,email,varchar(190),-,Yes,No,NULL,Max length 190,Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
facilities,address,varchar(500),-,No,No,NULL,Max length 500,Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
facilities,province,varchar(100),-,No,No,NULL,Max length 100,Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
facilities,district,varchar(100),-,No,No,NULL,Max length 100,Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
facilities,ward,varchar(100),-,No,No,NULL,Max length 100,Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
facilities,latitude,"decimal(10,7)",-,Yes,No,NULL,Nullable,Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
facilities,longitude,"decimal(10,7)",-,Yes,No,NULL,Nullable,Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
facilities,status,varchar(30),-,No,No,NULL,"Allowed: active, inactive; Max length 30",Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
facilities,created_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
facilities,updated_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"danh sách cơ sở/phòng khám/chi nhánh. Đây là bảng trung tâm cho các chức năng chọn cơ sở khám, dashboard theo cơ sở, dịch vụ theo cơ sở, tồn kho theo cơ sở."
rooms,id,bigint,PK,No,No,NULL,Primary key,Until soft/hard delete,System,"phòng khám bên trong một cơ sở. Dùng để quản lý phòng siêu âm, phòng xét nghiệm, phòng khám, phòng tư vấn và phân lịch vào phòng cụ thể."
rooms,facility_id,bigint,FK→facilities.id,No,No,NULL,Must reference facilities.id,Until soft/hard delete,System,"phòng khám bên trong một cơ sở. Dùng để quản lý phòng siêu âm, phòng xét nghiệm, phòng khám, phòng tư vấn và phân lịch vào phòng cụ thể."
rooms,name,varchar(150),-,No,No,NULL,Max length 150,Until soft/hard delete,System,"phòng khám bên trong một cơ sở. Dùng để quản lý phòng siêu âm, phòng xét nghiệm, phòng khám, phòng tư vấn và phân lịch vào phòng cụ thể."
rooms,room_type,varchar(50),-,No,No,NULL,"Allowed: exam, ultrasound, lab, consultation; Max length 50",Until soft/hard delete,System,"phòng khám bên trong một cơ sở. Dùng để quản lý phòng siêu âm, phòng xét nghiệm, phòng khám, phòng tư vấn và phân lịch vào phòng cụ thể."
rooms,floor,varchar(50),-,Yes,No,NULL,Max length 50,Until soft/hard delete,System,"phòng khám bên trong một cơ sở. Dùng để quản lý phòng siêu âm, phòng xét nghiệm, phòng khám, phòng tư vấn và phân lịch vào phòng cụ thể."
rooms,status,varchar(30),-,No,No,NULL,"Allowed: active, inactive; Max length 30",Until soft/hard delete,System,"phòng khám bên trong một cơ sở. Dùng để quản lý phòng siêu âm, phòng xét nghiệm, phòng khám, phòng tư vấn và phân lịch vào phòng cụ thể."
rooms,created_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"phòng khám bên trong một cơ sở. Dùng để quản lý phòng siêu âm, phòng xét nghiệm, phòng khám, phòng tư vấn và phân lịch vào phòng cụ thể."
rooms,updated_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"phòng khám bên trong một cơ sở. Dùng để quản lý phòng siêu âm, phòng xét nghiệm, phòng khám, phòng tư vấn và phân lịch vào phòng cụ thể."
facility_doctors,facility_id,bigint,PK/FK→facilities.id,No,No,NULL,Primary key; Must reference facilities.id,Until soft/hard delete,System,quan hệ bác sĩ làm việc tại cơ sở nào. Không nên lưu trực tiếp một `facility_id` trong `doctors` vì một bác sĩ có thể làm ở nhiều cơ sở.
facility_doctors,doctor_id,bigint,PK/FK→doctors.id,No,No,NULL,Primary key; Must reference doctors.id,Until soft/hard delete,System,quan hệ bác sĩ làm việc tại cơ sở nào. Không nên lưu trực tiếp một `facility_id` trong `doctors` vì một bác sĩ có thể làm ở nhiều cơ sở.
facility_doctors,status,varchar(30),-,No,No,NULL,"Allowed: active, inactive; Max length 30",Until soft/hard delete,System,quan hệ bác sĩ làm việc tại cơ sở nào. Không nên lưu trực tiếp một `facility_id` trong `doctors` vì một bác sĩ có thể làm ở nhiều cơ sở.
facility_doctors,assigned_at,timestamp,-,No,No,NULL,Timestamp,Until soft/hard delete,System,quan hệ bác sĩ làm việc tại cơ sở nào. Không nên lưu trực tiếp một `facility_id` trong `doctors` vì một bác sĩ có thể làm ở nhiều cơ sở.
facility_staff,facility_id,bigint,PK/FK→facilities.id,No,No,NULL,Primary key; Must reference facilities.id,Until soft/hard delete,System,quan hệ staff làm việc tại cơ sở nào. Dùng để phân quyền vận hành theo chi nhánh và lọc danh sách staff của từng cơ sở.
facility_staff,staff_id,bigint,PK/FK→staff_profiles.id,No,No,NULL,Primary key; Must reference staff_profiles.id,Until soft/hard delete,System,quan hệ staff làm việc tại cơ sở nào. Dùng để phân quyền vận hành theo chi nhánh và lọc danh sách staff của từng cơ sở.
facility_staff,status,varchar(30),-,No,No,NULL,"Allowed: active, inactive; Max length 30",Until soft/hard delete,System,quan hệ staff làm việc tại cơ sở nào. Dùng để phân quyền vận hành theo chi nhánh và lọc danh sách staff của từng cơ sở.
facility_staff,assigned_at,timestamp,-,No,No,NULL,Timestamp,Until soft/hard delete,System,quan hệ staff làm việc tại cơ sở nào. Dùng để phân quyền vận hành theo chi nhánh và lọc danh sách staff của từng cơ sở.
doctor_shifts,id,bigint,PK,No,No,NULL,Primary key,Until soft/hard delete,System,"ca trực/lịch làm việc của bác sĩ theo ngày, giờ, cơ sở và phòng. Bảng này là nguồn để kiểm tra bác sĩ có khả dụng khi đặt lịch hay không."
doctor_shifts,doctor_id,bigint,FK→doctors.id,No,No,NULL,Must reference doctors.id,Until soft/hard delete,System,"ca trực/lịch làm việc của bác sĩ theo ngày, giờ, cơ sở và phòng. Bảng này là nguồn để kiểm tra bác sĩ có khả dụng khi đặt lịch hay không."
doctor_shifts,facility_id,bigint,FK→facilities.id,No,No,NULL,Must reference facilities.id,Until soft/hard delete,System,"ca trực/lịch làm việc của bác sĩ theo ngày, giờ, cơ sở và phòng. Bảng này là nguồn để kiểm tra bác sĩ có khả dụng khi đặt lịch hay không."
doctor_shifts,room_id,bigint,FK→rooms.id,Yes,No,NULL,Must reference rooms.id,Until soft/hard delete,System,"ca trực/lịch làm việc của bác sĩ theo ngày, giờ, cơ sở và phòng. Bảng này là nguồn để kiểm tra bác sĩ có khả dụng khi đặt lịch hay không."
doctor_shifts,shift_date,date,-,No,No,NULL,Date,Until soft/hard delete,System,"ca trực/lịch làm việc của bác sĩ theo ngày, giờ, cơ sở và phòng. Bảng này là nguồn để kiểm tra bác sĩ có khả dụng khi đặt lịch hay không."
doctor_shifts,start_time,time,-,No,No,NULL,-,Until soft/hard delete,System,"ca trực/lịch làm việc của bác sĩ theo ngày, giờ, cơ sở và phòng. Bảng này là nguồn để kiểm tra bác sĩ có khả dụng khi đặt lịch hay không."
doctor_shifts,end_time,time,-,No,No,NULL,-,Until soft/hard delete,System,"ca trực/lịch làm việc của bác sĩ theo ngày, giờ, cơ sở và phòng. Bảng này là nguồn để kiểm tra bác sĩ có khả dụng khi đặt lịch hay không."
doctor_shifts,max_appointments,int,-,Yes,No,NULL,Nullable,Until soft/hard delete,System,"ca trực/lịch làm việc của bác sĩ theo ngày, giờ, cơ sở và phòng. Bảng này là nguồn để kiểm tra bác sĩ có khả dụng khi đặt lịch hay không."
doctor_shifts,status,varchar(30),-,No,No,NULL,"Allowed: available, full, cancelled, off; Max length 30",Until soft/hard delete,System,"ca trực/lịch làm việc của bác sĩ theo ngày, giờ, cơ sở và phòng. Bảng này là nguồn để kiểm tra bác sĩ có khả dụng khi đặt lịch hay không."
doctor_shifts,created_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"ca trực/lịch làm việc của bác sĩ theo ngày, giờ, cơ sở và phòng. Bảng này là nguồn để kiểm tra bác sĩ có khả dụng khi đặt lịch hay không."
doctor_shifts,updated_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"ca trực/lịch làm việc của bác sĩ theo ngày, giờ, cơ sở và phòng. Bảng này là nguồn để kiểm tra bác sĩ có khả dụng khi đặt lịch hay không."
services,id,bigint,PK,No,No,NULL,Primary key,Until soft/hard delete,System,"danh mục dịch vụ chuẩn của hệ thống, ví dụ khám thai, siêu âm, xét nghiệm, tư vấn. Đây là master data, chưa phụ thuộc cơ sở."
services,code,varchar(50),-,No,Yes,NULL,Unique; Max length 50,Until soft/hard delete,System,"danh mục dịch vụ chuẩn của hệ thống, ví dụ khám thai, siêu âm, xét nghiệm, tư vấn. Đây là master data, chưa phụ thuộc cơ sở."
services,name,varchar(200),-,No,No,NULL,Max length 200,Until soft/hard delete,System,"danh mục dịch vụ chuẩn của hệ thống, ví dụ khám thai, siêu âm, xét nghiệm, tư vấn. Đây là master data, chưa phụ thuộc cơ sở."
services,description,text,-,Yes,No,NULL,Nullable,Until soft/hard delete,System,"danh mục dịch vụ chuẩn của hệ thống, ví dụ khám thai, siêu âm, xét nghiệm, tư vấn. Đây là master data, chưa phụ thuộc cơ sở."
services,service_type,varchar(50),-,No,No,NULL,"Allowed: exam, ultrasound, lab, consultation, other; Max length 50",Until soft/hard delete,System,"danh mục dịch vụ chuẩn của hệ thống, ví dụ khám thai, siêu âm, xét nghiệm, tư vấn. Đây là master data, chưa phụ thuộc cơ sở."
services,default_duration_minutes,int,-,No,No,NULL,-,Until soft/hard delete,System,"danh mục dịch vụ chuẩn của hệ thống, ví dụ khám thai, siêu âm, xét nghiệm, tư vấn. Đây là master data, chưa phụ thuộc cơ sở."
services,base_price,"decimal(15,2)",-,No,No,NULL,-,Until soft/hard delete,System,"danh mục dịch vụ chuẩn của hệ thống, ví dụ khám thai, siêu âm, xét nghiệm, tư vấn. Đây là master data, chưa phụ thuộc cơ sở."
services,requires_doctor_warning,boolean,-,No,No,false,Default false,Until soft/hard delete,System,"danh mục dịch vụ chuẩn của hệ thống, ví dụ khám thai, siêu âm, xét nghiệm, tư vấn. Đây là master data, chưa phụ thuộc cơ sở."
services,status,varchar(30),-,No,No,NULL,"Allowed: active, inactive; Max length 30",Until soft/hard delete,System,"danh mục dịch vụ chuẩn của hệ thống, ví dụ khám thai, siêu âm, xét nghiệm, tư vấn. Đây là master data, chưa phụ thuộc cơ sở."
services,created_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"danh mục dịch vụ chuẩn của hệ thống, ví dụ khám thai, siêu âm, xét nghiệm, tư vấn. Đây là master data, chưa phụ thuộc cơ sở."
services,updated_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Timestamp,Until soft/hard delete,System,"danh mục dịch vụ chuẩn của hệ thống, ví dụ khám thai, siêu âm, xét nghiệm, tư vấn. Đây là master data, chưa phụ thuộc cơ sở."
facility_services,id,bigint,PK,No,No,NULL,Primary key,Until soft/hard delete,System,"cấu hình dịch vụ ở từng cơ sở, gồm giá, thời lượng và trạng thái khả dụng. Dùng vì cùng một dịch vụ có thể có giá hoặc trạng thái khác nhau giữa các cơ sở."
facility_services,facility_id,bigint,FK→facilities.id,No,No,NULL,Must reference facilities.id,Until soft/hard delete,System,"cấu hình dịch vụ ở từng cơ sở, gồm giá, thời lượng và trạng thái khả dụng. Dùng vì cùng một dịch vụ có thể có giá hoặc trạng thái khác nhau giữa các cơ sở."
